id,title,company,location,category,contract_type,contract_time,created,salary_min,salary_max,salary_is_predicted,description,redirect_url,Python,SQL,Excel,Google Sheets,Power BI,Tableau,Machine Learning,Statistics,AWS,Azure,SAS,VBA,Data Visualization,Data Modeling,Communication,posted_date,seniority_level,skills_count,work_mode,posted_week
5822060901,Data Analyst,UnitedHealth Group,"Bangalore, Karnataka",IT Jobs,Not Specified,Not Specified,2026-07-31 10:55:59+00:00,,,0,"Requisition number: 2378709 Job category: Business & Data Analytics Optum is a global organization that delivers care, aided by technology to help millions of people live healthier lives. The work you do with our team will directly improve health outcomes by connecting people with the care, pharmacy benefits, data and resources they need to feel their best. Here, you will find a culture guided by inclusion, talented peers, comprehensive benefits and career development opportunities. Come make a…",https://www.adzuna.in/details/5822060901?utm_medium=api&utm_source=f1e89a05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31-07-2026,Mid/Not Specified,0,Onsite/Not Specified,2026-07-27/2026-08-02
5824135153,Data Analyst,Guidehouse,Not Specified,IT Jobs,Not Specified,full_time,2026-08-01 20:56:59+00:00,,,0,"Job Family : EBO Management Information System (India) Travel Required : None Clearance Required : None What You Will Do: Understand high-level client requirements, break them down into detailed tasks, and collaborate with the team to define solutions; provide recommendations based on qualitative and quantitative analysis Contribute & Manage backend PMO activities (Timesheet Management, Invoice Oversight, SubK & Roster Management, Laptop/Resource Management, Expenses, EDSP & other Compliance Re…",https://www.adzuna.in/details/5824135153?utm_medium=api&utm_source=f1e89a05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,01-08-2026,Mid/Not Specified,0,Onsite/Not Specified,2026-07-27/2026-08-02
5787185965,Data Analyst,EXL,Not Specified,IT Jobs,Not Specified,full_time,2026-07-04 02:29:39+00:00,,,0,"Description In this position, the candidate will be responsible for building and maintaining BI and analytics solutions that transform data into actionable insights through interactive and easy-to-understand dashboards and reports. The role requires a strong background in data analysis, digital marketing analytics, and business intelligence, along with excellent analytical and communication skills. The selected candidate will work in a client-facing capacity, supporting end-to-end BI developmen…",https://www.adzuna.in/details/5787185965?utm_medium=api&utm_source=f1e89a05,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,04-07-2026,Mid/Not Specified,2,Onsite/Not Specified,2026-06-29/2026-07-05
5728422548,Data Analyst,MM Staffing & Career Consultants,"Mumbai, Maharashtra",IT Jobs,Not Specified,full_time,2026-05-14 02:26:01+00:00,,,0,"Job Description: Key Responsibilities: -  Design, develop, and maintain daily/weekly/monthly MIS reports and dashboards using Excel and Tableau.  Automate reporting processes using advanced Excel functions (Power Query, Pivot Tables, Macros/VBA).  Create interactive Tableau dashboards to visualize KPIs and business metrics.     Collaborate with cross-functional teams to gather reporting requirements and deliver customized solutions. Ensure data accuracy, integrity, and consistency across…",https://www.adzuna.in/details/5728422548?utm_medium=api&utm_source=f1e89a05,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,14-05-2026,Mid/Not Specified,3,Onsite/Not Specified,2026-05-11/2026-05-17
5822232685,Information Technology Internal Auditor,Mizuho,"Chennai, Tamil Nadu",IT Jobs,Not Specified,Not Specified,2026-07-31 15:27:22+00:00,,,0,"Mizuho Global Services Pvt Ltd (MGS) is a subsidiary company of Mizuho Bank, Ltd, which is one of the largest banks or so called Mega Banks of Japan. MGS was established in the year 2020 as part of Mizuhos long-term strategy of creating a captive global processing center for remotely handling banking and IT related operations of Mizuho Banks domestic and overseas offices and Mizuhos group companies across the globe. At Mizuho we are committed to a culture that is driven by ethical values and su…",https://www.adzuna.in/land/ad/5822232685?se=sAl9DVOO8RGGgO_n0rmdiQ&utm_medium=api&utm_source=f1e89a05&v=6EA4E33DFF0B4C823ECF2DFDA40F96216732DB3D,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31-07-2026,Junior,0,Remote,2026-07-27/2026-08-02
5636068235,Data Analyst / Data Scientist,Weekday AI,Not Specified,IT Jobs,Not Specified,full_time,2026-02-19 19:58:34+00:00,,,0,"This role is for one of the Weekday's clients Salary range: Rs 300000 - Rs 1200000 (ie INR 3-12 LPA) Min Experience: 1 years Location: Remote (India) JobType: full-time We’re looking for a passionate and detail-oriented Data Analyst / Data Scientist to join our growing analytics team. This role is perfect for someone who thrives on solving complex problems using data, loves diving deep into datasets, and has a strong command of analytical tools and programming languages. As a Data Analyst / Dat…",https://www.adzuna.in/details/5636068235?utm_medium=api&utm_source=f1e89a05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19-02-2026,Mid/Not Specified,0,Remote,2026-02-16/2026-02-22
5730849721,Data Analyst/ Data Modeler,Capgemini,"Hyderabad, Telangana",IT Jobs,Not Specified,full_time,2026-05-16 05:48:43+00:00,,,0,"Job Description Capgemini is hiring for Data Analyst/ Data Modeler Location: Pan India Experience range: 13 years to 16 years We are looking for Data Analyst with 13 years of hands-on experience in collecting, analysing, and interpreting large datasets to support business decision-making. The Data Analyst plays a pivotal role in enabling data-driven decision-making by extracting insights from complex datasets. This role supports the development and deployment of AI/ML and Gen AI solutions by en…",https://www.adzuna.in/details/5730849721?utm_medium=api&utm_source=f1e89a05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16-05-2026,Mid/Not Specified,0,Onsite/Not Specified,2026-05-11/2026-05-17
5820582124,data analyst / data analytics,Aspyra Hr Services,"Hyderabad, Telangana",IT Jobs,Not Specified,Not Specified,2026-07-30 07:29:15+00:00,,,0,"Roles and Responsibilities: Extract, manipulate, and analyze large datasets from various sources such as Hive, SQL databases, and BI tools. Develop and maintain dashboards using Tableau to provide insights on banking performance, market trends, and customer behavior. Collaborate with cross-functional teams to identify key performance indicators (KPIs) and develop data visualizations to drive business decisions. Desired Candidate Profile: 6–10 years of experience in Data Analytics or related fie…",https://www.adzuna.in/details/5820582124?utm_medium=api&utm_source=f1e89a05,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,30-07-2026,Mid/Not Specified,3,Onsite/Not Specified,2026-07-27/2026-08-02
5820582141,data analyst / Data analytics,Aspyra Hr Services,"Pune, Maharashtra",IT Jobs,Not Specified,Not Specified,2026-07-30 07:29:15+00:00,,,0,"Roles and Responsibilities: Extract, manipulate, and analyze large datasets from various sources such as Hive, SQL databases, and BI tools. Develop and maintain dashboards using Tableau to provide insights on banking performance, market trends, and customer behavior. Collaborate with cross-functional teams to identify key performance indicators (KPIs) and develop data visualizations to drive business decisions. Desired Candidate Profile: 3–8 years of experience in Data Analytics or a related fi…",https://www.adzuna.in/details/5820582141?utm_medium=api&utm_source=f1e89a05,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,30-07-2026,Mid/Not Specified,3,Onsite/Not Specified,2026-07-27/2026-08-02
5807632277,Data Analyst Trainee,growthally,"Mumbai, Maharashtra",Accounting & Finance Jobs,Not Specified,part_time,2026-07-20 06:32:56+00:00,240000,500000,0,"Job Description – Data Analyst Trainee Company: Growthally Advisors Pvt. Ltd. Position: Data Analyst Trainee Location: Andheri East, Mumbai Employment Type: Part-Time Experience: Final-year students or candidates with up to 1 year of experience About the Role Growthally Advisors Pvt. Ltd. is seeking a highly motivated and analytical Data Analyst Trainee to join our growing team. This role offers hands-on exposure to live business and financial data, enabling you to build strong analytical capab…",https://www.adzuna.in/details/5807632277?utm_medium=api&utm_source=f1e89a05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20-07-2026,Mid/Not Specified,0,Onsite/Not Specified,2026-07-20/2026-07-26
